,date,close,symbol
0,2014-03-04,179500.0,TVIX
1,2014-03-05,177500.0,TVIX
2,2014-03-06,176500.0,TVIX
3,2014-03-07,182750.0,TVIX
4,2014-03-10,181750.0,TVIX
5,2014-03-11,185500.0,TVIX
6,2014-03-12,185500.0,TVIX
7,2014-03-13,200500.0,TVIX
8,2014-03-14,209750.0,TVIX
9,2014-03-17,192500.0,TVIX
10,2014-03-18,178250.0,TVIX
11,2014-03-19,184250.0,TVIX
12,2014-03-20,182250.0,TVIX
13,2014-03-21,185250.0,TVIX
14,2014-03-24,186250.0,TVIX
15,2014-03-25,182750.0,TVIX
16,2014-03-26,187250.0,TVIX
17,2014-03-27,183750.0,TVIX
18,2014-03-28,180750.0,TVIX
19,2014-03-31,175250.0,TVIX
20,2014-04-01,162500.0,TVIX
21,2014-04-02,163250.0,TVIX
22,2014-04-03,161250.0,TVIX
23,2014-04-04,167250.0,TVIX
24,2014-04-07,171750.0,TVIX
25,2014-04-08,164500.0,TVIX
26,2014-04-09,158500.0,TVIX
27,2014-04-10,174500.0,TVIX
28,2014-04-11,184250.0,TVIX
29,2014-04-14,182750.0,TVIX
30,2014-04-15,178500.0,TVIX
31,2014-04-16,167250.0,TVIX
32,2014-04-17,162500.0,TVIX
33,2014-04-21,158000.0,TVIX
34,2014-04-22,156750.0,TVIX
35,2014-04-23,157775.0,TVIX
36,2014-04-24,162500.0,TVIX
37,2014-04-25,164000.0,TVIX
38,2014-04-28,156500.0,TVIX
39,2014-04-29,153000.0,TVIX
40,2014-04-30,152250.0,TVIX
41,2014-05-01,152250.0,TVIX
42,2014-05-02,151250.0,TVIX
43,2014-05-05,148250.0,TVIX
44,2014-05-06,148750.0,TVIX
45,2014-05-07,142000.0,TVIX
46,2014-05-08,143500.0,TVIX
47,2014-05-09,138500.0,TVIX
48,2014-05-12,130000.0,TVIX
49,2014-05-13,130500.0,TVIX
50,2014-05-14,129500.0,TVIX
51,2014-05-15,132000.0,TVIX
52,2014-05-16,125250.0,TVIX
53,2014-05-19,120750.0,TVIX
54,2014-05-20,118500.0,TVIX
55,2014-05-21,116000.0,TVIX
56,2014-05-22,116000.0,TVIX
57,2014-05-23,114000.0,TVIX
58,2014-05-27,106750.0,TVIX
59,2014-05-28,106750.0,TVIX
60,2014-05-29,105000.0,TVIX
61,2014-05-30,105250.0,TVIX
62,2014-06-02,103750.0,TVIX
63,2014-06-03,104250.0,TVIX
64,2014-06-04,101250.0,TVIX
65,2014-06-05,94750.0,TVIX
66,2014-06-06,85250.0,TVIX
67,2014-06-09,87000.0,TVIX
68,2014-06-10,83750.0,TVIX
69,2014-06-11,87750.0,TVIX
70,2014-06-12,97000.0,TVIX
71,2014-06-13,92500.0,TVIX
72,2014-06-16,92250.0,TVIX
73,2014-06-17,86000.0,TVIX
74,2014-06-18,77250.0,TVIX
75,2014-06-19,77750.0,TVIX
76,2014-06-20,79500.0,TVIX
77,2014-06-23,75250.0,TVIX
78,2014-06-24,82000.0,TVIX
79,2014-06-25,75750.0,TVIX
80,2014-06-26,77500.0,TVIX
81,2014-06-27,76500.0,TVIX
82,2014-06-30,74502.5,TVIX
83,2014-07-01,70750.0,TVIX
84,2014-07-02,69250.0,TVIX
85,2014-07-03,67250.0,TVIX
86,2014-07-07,69750.0,TVIX
87,2014-07-08,72000.0,TVIX
88,2014-07-09,69500.0,TVIX
89,2014-07-10,74250.0,TVIX
90,2014-07-11,71750.0,TVIX
91,2014-07-14,68000.0,TVIX
92,2014-07-15,71000.0,TVIX
93,2014-07-16,67500.0,TVIX
94,2014-07-17,79000.0,TVIX
95,2014-07-18,69500.0,TVIX
96,2014-07-21,72750.0,TVIX
97,2014-07-22,70250.0,TVIX
98,2014-07-23,71250.0,TVIX
99,2014-07-24,70000.0,TVIX
100,2014-07-25,73500.0,TVIX
101,2014-07-28,73250.0,TVIX
102,2014-07-29,73000.0,TVIX
103,2014-07-30,74750.0,TVIX
104,2014-07-31,86750.0,TVIX
105,2014-08-01,95000.0,TVIX
106,2014-08-04,85750.0,TVIX
107,2014-08-05,97750.0,TVIX
108,2014-08-06,99000.0,TVIX
109,2014-08-07,103250.0,TVIX
110,2014-08-08,95500.0,TVIX
111,2014-08-11,86250.0,TVIX
112,2014-08-12,85500.0,TVIX
113,2014-08-13,76252.5,TVIX
114,2014-08-14,71500.0,TVIX
115,2014-08-15,71750.0,TVIX
116,2014-08-18,67250.0,TVIX
117,2014-08-19,65500.0,TVIX
118,2014-08-20,66250.0,TVIX
119,2014-08-21,67250.0,TVIX
120,2014-08-22,66500.0,TVIX
121,2014-08-25,65250.0,TVIX
122,2014-08-26,66500.0,TVIX
123,2014-08-27,66997.5,TVIX
124,2014-08-28,69250.0,TVIX
125,2014-08-29,68500.0,TVIX
126,2014-09-02,69250.0,TVIX
127,2014-09-03,67500.0,TVIX
128,2014-09-04,67750.0,TVIX
129,2014-09-05,65500.0,TVIX
130,2014-09-08,65750.0,TVIX
131,2014-09-09,68500.0,TVIX
132,2014-09-10,68000.0,TVIX
133,2014-09-11,67750.0,TVIX
134,2014-09-12,70500.0,TVIX
135,2014-09-15,74250.0,TVIX
136,2014-09-16,67000.0,TVIX
137,2014-09-17,66000.0,TVIX
138,2014-09-18,64250.0,TVIX
139,2014-09-19,64000.0,TVIX
140,2014-09-22,68000.0,TVIX
141,2014-09-23,72250.0,TVIX
142,2014-09-24,67750.0,TVIX
143,2014-09-25,77500.0,TVIX
144,2014-09-26,73000.0,TVIX
145,2014-09-29,79250.0,TVIX
146,2014-09-30,81250.0,TVIX
147,2014-10-01,84750.0,TVIX
148,2014-10-02,82750.0,TVIX
149,2014-10-03,73500.0,TVIX
150,2014-10-06,75250.0,TVIX
151,2014-10-07,85625.0,TVIX
152,2014-10-08,72250.0,TVIX
153,2014-10-09,83750.0,TVIX
154,2014-10-10,103000.0,TVIX
155,2014-10-13,123250.0,TVIX
156,2014-10-14,119250.0,TVIX
157,2014-10-15,122000.0,TVIX
158,2014-10-16,125500.0,TVIX
159,2014-10-17,114500.0,TVIX
160,2014-10-20,97500.0,TVIX
161,2014-10-21,83000.0,TVIX
162,2014-10-22,95250.0,TVIX
163,2014-10-23,84750.0,TVIX
164,2014-10-24,82750.0,TVIX
165,2014-10-27,81000.0,TVIX
166,2014-10-28,71000.0,TVIX
167,2014-10-29,73000.0,TVIX
168,2014-10-30,73500.0,TVIX
169,2014-10-31,70000.0,TVIX
170,2014-11-03,72250.0,TVIX
171,2014-11-04,71250.0,TVIX
172,2014-11-05,69750.0,TVIX
173,2014-11-06,66250.0,TVIX
174,2014-11-07,64750.0,TVIX
175,2014-11-10,60500.0,TVIX
176,2014-11-11,59750.0,TVIX
177,2014-11-12,61500.0,TVIX
178,2014-11-13,62500.0,TVIX
179,2014-11-14,63000.0,TVIX
180,2014-11-17,63000.0,TVIX
181,2014-11-18,61500.0,TVIX
182,2014-11-19,63250.0,TVIX
183,2014-11-20,62250.0,TVIX
184,2014-11-21,60500.0,TVIX
185,2014-11-24,58500.0,TVIX
186,2014-11-25,57500.0,TVIX
187,2014-11-26,55500.0,TVIX
188,2014-11-28,57750.0,TVIX
189,2014-12-01,62000.0,TVIX
190,2014-12-02,56250.0,TVIX
191,2014-12-03,54500.0,TVIX
192,2014-12-04,53750.0,TVIX
193,2014-12-05,52000.0,TVIX
194,2014-12-08,55250.0,TVIX
195,2014-12-09,56000.0,TVIX
196,2014-12-10,67000.0,TVIX
197,2014-12-11,75250.0,TVIX
198,2014-12-12,83000.0,TVIX
199,2014-12-15,78750.0,TVIX
200,2014-12-16,86000.0,TVIX
201,2014-12-17,69000.0,TVIX
202,2014-12-18,64500.0,TVIX
203,2014-12-19,63250.0,TVIX
204,2014-12-22,57750.0,TVIX
205,2014-12-23,57750.0,TVIX
206,2014-12-24,57250.0,TVIX
207,2014-12-26,58250.0,TVIX
208,2014-12-29,57500.0,TVIX
209,2014-12-30,60250.0,TVIX
210,2014-12-31,69000.0,TVIX
211,2015-01-02,66500.0,TVIX
212,2015-01-05,76250.0,TVIX
213,2015-01-06,80250.0,TVIX
214,2015-01-07,74750.0,TVIX
215,2015-01-08,66000.0,TVIX
216,2015-01-09,70250.0,TVIX
217,2015-01-12,76750.0,TVIX
218,2015-01-13,81500.0,TVIX
219,2015-01-14,84500.0,TVIX
220,2015-01-15,89500.0,TVIX
221,2015-01-16,85750.0,TVIX
222,2015-01-20,84250.0,TVIX
223,2015-01-21,76750.0,TVIX
224,2015-01-22,67500.0,TVIX
225,2015-01-23,70500.0,TVIX
226,2015-01-26,64750.0,TVIX
227,2015-01-27,69250.0,TVIX
228,2015-01-28,80000.0,TVIX
229,2015-01-29,74750.0,TVIX
230,2015-01-30,88500.0,TVIX
231,2015-02-02,79750.0,TVIX
232,2015-02-03,72750.0,TVIX
233,2015-02-04,76250.0,TVIX
234,2015-02-05,71500.0,TVIX
235,2015-02-06,76500.0,TVIX
236,2015-02-09,77500.0,TVIX
237,2015-02-10,72000.0,TVIX
238,2015-02-11,72750.0,TVIX
239,2015-02-12,65500.0,TVIX
240,2015-02-13,64250.0,TVIX
241,2015-02-17,64500.0,TVIX
242,2015-02-18,63250.0,TVIX
243,2015-02-19,60500.0,TVIX
244,2015-02-20,57000.0,TVIX
245,2015-02-23,57500.0,TVIX
246,2015-02-24,53250.0,TVIX
247,2015-02-25,54250.0,TVIX
248,2015-02-26,52000.0,TVIX
249,2015-02-27,52000.0,TVIX
250,2015-03-02,49750.0,TVIX
251,2015-03-03,50750.0,TVIX
252,2015-03-04,50250.0,TVIX
253,2015-03-05,49500.0,TVIX
254,2015-03-06,52500.0,TVIX
255,2015-03-09,50750.0,TVIX
256,2015-03-10,53500.0,TVIX
257,2015-03-11,55500.0,TVIX
258,2015-03-12,50250.0,TVIX
259,2015-03-13,51750.0,TVIX
260,2015-03-16,50250.0,TVIX
261,2015-03-17,49250.0,TVIX
262,2015-03-18,45750.0,TVIX
263,2015-03-19,44750.0,TVIX
264,2015-03-20,43250.0,TVIX
265,2015-03-23,42250.0,TVIX
