date,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-04,6.9479,33,33,0,0,7.0154,"Mar 4, 14",0
2014-03-10,6.5977,1400,1400,-0.350157,-5.04,6.6135,"Mar 10, 14",-0.050403719109371185
2014-03-24,7.0646,254,254,0.466877,7.076,7.0646,"Mar 24, 14",0.01679644209041591
2014-03-26,6.5424,4469,4469,-0.522165,-7.391,6.5304,"Mar 26, 14",-0.058362958591804716
2014-03-27,6.5424,48,48,0,0,6.5608,"Mar 27, 14",-0.058362958591804716
2014-04-02,6.5424,13,13,0,0,6.9233,"Apr 2, 14",-0.058362958591804716
2014-04-08,6.9417,4530,4530,0.399302,6.103,6.938,"Apr 8, 14",-0.0008923559636724422
2014-04-09,6.4073,300,300,-0.534451,-7.699,6.4892,"Apr 9, 14",-0.07780768289699039
2014-04-17,6.4073,40,40,0,0,6.6223,"Apr 17, 14",-0.07780768289699039
2014-04-24,6.4626,115,115,0.055288,0.863,6.4537,"Apr 24, 14",-0.06984844341455687
2014-04-25,6.0448,2733,2733,-0.41773,-6.464,6.0679,"Apr 25, 14",-0.12998172109558276
2014-04-28,6.1431,300,300,0.09829,1.626,6.1431,"Apr 28, 14",-0.11583356121993699
2014-04-29,5.965,2000,2000,-0.178152,-2.9,5.965,"Apr 29, 14",-0.14146720591833503
2014-04-30,5.965,3026,3026,0,0,5.9635,"Apr 30, 14",-0.14146720591833503
2014-05-02,5.9625,0,0,-0.002496,-0.042,,"May 2, 14",-0.1418270268714287
2014-05-12,6.4842,5219,5219,0.521752,8.751,6.3867,"May 12, 14",-0.06673959037982691
2014-05-14,6.7383,4429,4429,0.254089,3.919,6.7391,"May 14, 14",-0.03016738870737921
2014-05-16,6.7445,1429,1429,0.006227,0.092,6.7559,"May 16, 14",-0.02927503274370664
2014-05-20,6.4082,2316,2316,-0.336295,-4.986,6.4814,"May 20, 14",-0.0776781473538767
2014-05-21,6.5079,2300,2300,0.099644,1.555,6.5025,"May 21, 14",-0.06332848774449827
2014-05-27,6.7072,340,340,0.199284,3.062,6.7072,"May 27, 14",-0.03464356136386527
2014-06-02,6.7259,100,100,0.018684,0.279,6.7259,"Jun 2, 14",-0.0319521006347241
2014-06-03,6.7259,20,20,0,0,6.894,"Jun 3, 14",-0.0319521006347241
2014-06-12,6.9999,200,200,0.274015,4.074,6.9999,"Jun 12, 14",0.007484275824349874
2014-06-18,6.9999,46,46,0,0,7.1618,"Jun 18, 14",0.007484275824349874
2014-06-19,7.1929,100,100,0.193058,2.758,7.1929,"Jun 19, 14",0.035262453403186594
2014-06-20,7.386,1400,1400,0.193058,2.684,7.3873,"Jun 20, 14",0.06305502382014715
