date,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-25,7.1057,3054,3054,-0.280247,-3.794,7.1806,"Jun 25, 14",0.022711898559276897
2014-06-26,7.112,1560,1560,0.00623,0.088,7.112,"Jun 26, 14",0.02361864736107318
2014-06-30,7.112,1037,1037,0,0,7.0185,"Jun 30, 14",0.02361864736107318
2014-07-01,7.0559,209,209,-0.056049,-0.788,7.0557,"Jul 1, 14",0.01554426517364967
2014-07-02,7.112,499,499,0.056049,0.794,7.0711,"Jul 2, 14",0.02361864736107318
2014-07-03,7.168,223,223,0.056048,0.788,7.168,"Jul 3, 14",0.03167863671037298
2014-07-08,7.3038,2798,2798,0.135763,1.894,7.3038,"Jul 8, 14",0.05122411088242492
2014-07-09,7.386,100,100,0.082206,1.126,7.386,"Jul 9, 14",0.06305502382014715
2014-07-21,6.8878,200,200,-0.498213,-6.745,6.8878,"Jul 21, 14",-0.008650095712373433
2014-07-24,7.249,2477,2477,0.361203,5.244,7.2815,"Jul 24, 14",0.0433368355906101
2014-07-28,7.1618,5300,5300,-0.087186,-1.203,7.1618,"Jul 28, 14",0.030786280746700537
2014-07-29,7.1618,8,8,0,0,,"Jul 29, 14",0.030786280746700537
2014-07-31,7.1618,9,9,0,0,,"Jul 31, 14",0.030786280746700537
2014-08-01,7.0684,123,123,-0.093416,-1.304,7.0684,"Aug 1, 14",0.01734336993911827
2014-08-04,7.0684,1900,1900,0,0,7.0684,"Aug 4, 14",0.01734336993911827
2014-08-12,7.2988,4058,4058,0.230423,3.26,7.3186,"Aug 12, 14",0.050504468976237456
2014-08-19,7.4545,100,100,0.155692,2.133,7.4545,"Aug 19, 14",0.07291411793491567
2014-08-25,7.7067,150,150,0.252215,3.383,7.7067,"Aug 25, 14",0.10921285568301213
2014-08-26,7.2116,100,100,-0.495097,-6.424,7.2116,"Aug 26, 14",0.037953914132327765
2014-08-27,7.2116,50,50,0,0,,"Aug 27, 14",0.037953914132327765
2014-08-28,7.2116,1,1,0,0,,"Aug 28, 14",0.037953914132327765
2014-09-02,7.2957,3010,3010,0.084074,1.166,7.3539,"Sep 2, 14",0.05005829099440123
2014-09-03,7.2957,1,1,0,0,,"Sep 3, 14",0.05005829099440123
2014-09-04,7.9402,665,665,0.64456,8.835,7.7901,"Sep 4, 14",0.14282013270196753
2014-09-08,7.9402,100,100,0,0,,"Sep 8, 14",0.14282013270196753
2014-09-15,7.9402,1,1,0,0,,"Sep 15, 14",0.14282013270196753
2014-09-16,7.8748,5708,5708,-0.065391,-0.824,7.8454,"Sep 16, 14",0.13340721656903523
2014-09-17,7.6039,2955,2955,-0.270902,-3.44,7.6168,"Sep 17, 14",0.0944170180917976
2014-09-19,7.6039,16,16,0,0,,"Sep 19, 14",0.0944170180917976
2014-09-24,7.5105,995,995,-0.093414,-1.228,7.5105,"Sep 24, 14",0.08097410728421547
2014-09-26,7.5105,66,66,0,0,,"Sep 26, 14",0.08097410728421547
2014-10-06,7.4765,6705,6705,-0.034004,-0.453,7.4751,"Oct 6, 14",0.0760805423221405
2014-10-10,7.2826,746,746,-0.193928,-2.594,7.2826,"Oct 10, 14",0.04817282920019008
2014-10-14,7.0995,6650,6650,-0.183091,-2.514,7.0995,"Oct 14, 14",0.021819542595604455
2014-10-17,7.333,117,117,0.233536,3.289,7.333,"Oct 17, 14",0.055426819614559864
2014-10-20,6.9594,767,767,-0.373658,-5.096,6.9858,"Oct 20, 14",0.0016551763842311842
2014-10-23,7.2209,150,150,0.261559,3.758,7.2209,"Oct 23, 14",0.03929244807783655
2014-10-24,7.4732,100,100,0.252219,3.493,7.4732,"Oct 24, 14",0.07560557866405684
2014-10-30,7.7721,100,100,0.298928,4,7.7721,"Oct 30, 14",0.11862577181594443
2014-10-31,7.6039,565,565,-0.168147,-2.163,7.6172,"Oct 31, 14",0.0944170180917976
2014-11-10,7.6507,200,200,0.046708,0.614,7.66,"Nov 10, 14",0.10115286633371233
2014-11-12,7.9122,100,100,0.261561,3.419,7.9122,"Nov 12, 14",0.1387901380273177
2014-11-13,7.716,7124,7124,-0.196171,-2.479,7.7401,"Nov 13, 14",0.11055138962852092
2014-11-14,7.716,13,13,0,0,,"Nov 14, 14",0.11055138962852092
2014-11-18,7.8188,465,465,0.102756,1.332,7.8188,"Nov 18, 14",0.12534722721973557
2014-11-26,7.7067,3750,3750,-0.112098,-1.434,7.6539,"Nov 26, 14",0.10921285568301213
2014-12-03,7.7441,4095,4095,0.037366,0.485,7.7441,"Dec 3, 14",0.1145957771412946
2014-12-10,7.716,200,200,-0.028024,-0.362,7.7487,"Dec 10, 14",0.11055138962852092
2014-12-15,7.716,45,45,0,0,,"Dec 15, 14",0.11055138962852092
2014-12-22,7.5759,278,278,-0.140122,-1.816,7.5479,"Dec 22, 14",0.09038702341714765
2014-12-23,7.4545,161,161,-0.121439,-1.603,7.4545,"Dec 23, 14",0.07291411793491567
2014-12-24,7.4545,61,61,0,0,,"Dec 24, 14",0.07291411793491567
2015-01-06,7.4545,95,95,0,0,,"Jan 6, 15",0.07291411793491567
2015-01-07,7.4545,95,95,0,0,,"Jan 7, 15",0.07291411793491567
2015-01-16,7.4918,138,138,0.037367,0.501,7.4918,"Jan 16, 15",0.07828264655507418
2015-01-20,7.1929,288,288,-0.298928,-3.99,7.235,"Jan 20, 15",0.035262453403186594
2015-01-21,7.249,262,262,0.056048,0.779,7.249,"Jan 21, 15",0.0433368355906101
2015-01-22,7.249,7,7,0,0,,"Jan 22, 15",0.0433368355906101
2015-01-28,7.3984,300,300,0.149464,2.062,7.3984,"Jan 28, 15",0.06483973574749204
2015-01-29,7.4638,1142,1142,0.065391,0.884,7.4638,"Jan 29, 15",0.07425265188042433
2015-02-13,8.015,0,0,0.551145,7.384,,"Feb 13, 15",0.15358597561853235
2015-02-17,7.8468,150,150,-0.168146,-2.098,7.8468,"Feb 17, 15",0.12937722189438539
2015-02-18,8.0617,106,106,0.214852,2.738,8.0617,"Feb 18, 15",0.16030743102232334
2015-02-19,8.0617,38,38,0,0,,"Feb 19, 15",0.16030743102232334
2015-02-23,8.0617,38,38,0,0,,"Feb 23, 15",0.16030743102232334
2015-03-04,8.3046,2496,2496,0.24288,3.013,8.3046,"Mar 4, 15",0.19526763482491127
2015-03-05,7.8842,2844,2844,-0.420366,-5.062,8.0154,"Mar 5, 15",0.13476014335266773
2015-03-24,8.3046,100,100,0.420366,5.332,8.3046,"Mar 24, 15",0.19526763482491127
2015-03-26,8.4167,1190,1190,0.112096,1.35,8.3937,"Mar 26, 15",0.21140200636163456
2015-03-31,8.5848,795,795,0.168147,1.998,8.5848,"Mar 31, 15",0.23559636724765753
2015-04-07,8.7529,300,300,0.168145,1.959,8.7529,"Apr 7, 15",0.25979072813368076
2015-04-10,8.865,100,100,0.112098,1.281,8.865,"Apr 10, 15",0.2759250996704041
2015-04-13,9.248,200,200,0.383,4.32,9.248,"Apr 13, 15",0.331049669684365
2015-04-16,9.0052,150,150,-0.242877,-2.626,9.0052,"Apr 16, 15",0.2961038587199011
2015-04-17,9.248,5000,5000,0.242877,2.697,9.248,"Apr 17, 15",0.331049669684365
2015-04-22,9.3415,3000,3000,0.093414,1.01,9.3415,"Apr 22, 15",0.344506973330071
2015-04-23,9.2294,8600,8600,-0.112096,-1.2,9.2285,"Apr 23, 15",0.3283726017933477
2015-04-24,9.4442,8500,8500,0.214854,2.328,9.4387,"Apr 24, 15",0.3592884180831619
2015-04-27,9.1546,400,400,-0.289586,-3.066,9.178,"Apr 27, 15",0.317606758876783
2015-04-28,8.9304,2500,2500,-0.224194,-2.449,8.9304,"Apr 28, 15",0.2853380158033364
2015-04-30,9.6404,100,100,0.709951,7.95,9.6404,"Apr 30, 15",0.38752716648195856
2015-05-01,9.2294,500,500,-0.411025,-4.264,9.2294,"May 1, 15",0.3283726017933477
2015-05-04,9.759,300,300,0.529603,5.738,9.7401,"May 4, 15",0.4045970724967257
2015-05-06,9.1655,344,344,-0.59345,-6.081,9.1655,"May 6, 15",0.31917557823227166
2015-05-08,9.9662,47314,47314,0.800686,8.736,9.4225,"May 8, 15",0.434419033089135
2015-05-11,9.7024,839,839,-0.263755,-2.646,9.7024,"May 11, 15",0.3964507261186835
2015-05-15,9.6553,525,525,-0.047099,-0.485,9.6553,"May 15, 15",0.3896716993623974
2015-05-18,10.1358,525,525,0.480412,4.976,10.1358,"May 18, 15",0.4588292865470142
2015-05-19,10.051,500,500,-0.08478,-0.836,10.051,"May 19, 15",0.44662415981807463
2015-05-21,9.4669,962,962,-0.584029,-5.811,9.4669,"May 21, 15",0.36255559233725315
2015-05-22,9.4669,19,19,0,0,,"May 22, 15",0.36255559233725315
2015-05-26,9.2785,381,381,-0.188397,-1.99,9.2817,"May 26, 15",0.33543948531210865
2015-05-27,9.7684,915,915,0.489833,5.279,9.7684,"May 27, 15",0.40594999928035813
2015-05-29,10.0887,619,619,0.320275,3.279,10.0887,"May 29, 15",0.4520502597907281
2015-06-01,9.9474,207,207,-0.1413,-1.401,9.9474,"Jun 1, 15",0.43171317952187
2015-06-03,9.9474,516,516,0,0,,"Jun 3, 15",0.43171317952187
2015-06-04,9.6082,516,516,-0.339114,-3.409,9.6082,"Jun 4, 15",0.38289267260611126
2015-07-14,9.0431,400,400,-0.56519,-5.882,9.1373,"Jul 14, 15",0.30155874436880226
2015-07-15,8.9771,305,305,-0.06594,-0.729,9.1164,"Jul 15, 15",0.2920594712071274
2015-07-16,9.1278,582,582,0.150719,1.679,9.1278,"Jul 16, 15",0.31374947825961813
2015-07-17,8.1105,700,700,-1.0173,-11.146,8.3319,"Jul 17, 15",0.16733113602671315
2015-08-03,9.1561,886,886,1.0456,12.892,9.1561,"Aug 3, 15",0.31782265144863925
2015-08-05,9.4198,473,473,0.263754,2.881,9.4119,"Aug 5, 15",0.35577656558096704
2015-08-12,8.7699,100,100,-0.649969,-6.9,8.7699,"Aug 12, 15",0.2622375106147181
2015-08-14,9.0996,218,218,0.329695,3.759,9.0996,"Aug 14, 15",0.3096906979087207
2015-08-18,9.0996,700,700,0,0,,"Aug 18, 15",0.3096906979087207
2015-08-19,9.0431,5000,5000,-0.056519,-0.621,9.047,"Aug 19, 15",0.30155874436880226
2015-08-21,9.0431,5,5,0,0,,"Aug 21, 15",0.30155874436880226
2015-09-03,9.4198,5000,5000,0.376793,4.167,9.4198,"Sep 3, 15",0.35577656558096704
2015-09-08,9.4481,100,100,0.028261,0.3,9.4481,"Sep 8, 15",0.3598497387699881
2015-09-11,9.4104,490,490,-0.03768,-0.399,9.4104,"Sep 11, 15",0.3544236387973344
2015-09-15,9.3256,1176,1176,-0.084778,-0.901,9.3256,"Sep 15, 15",0.34221851206839476
2015-09-17,9.0336,833,833,-0.292016,-3.131,9.0336,"Sep 17, 15",0.3001914247470459
2015-09-30,8.9489,5261,5261,-0.084779,-0.938,8.9485,"Sep 30, 15",0.28800069085623
2015-10-06,8.9018,12980,12980,-0.047098,-0.526,8.9411,"Oct 6, 15",0.28122166409994387
2015-10-07,8.7322,174,174,-0.169558,-1.905,8.7322,"Oct 7, 15",0.25681141064206464
2015-10-09,8.3931,120,120,-0.339115,-3.884,8.3931,"Oct 9, 15",0.20800529656442965
2015-10-13,8.9394,400,400,0.546351,6.51,8.744,"Oct 13, 15",0.28663337123447363
2015-10-14,8.9206,300,300,-0.01884,-0.211,8.9583,"Oct 14, 15",0.28392751766720886
2015-10-15,8.9206,222,222,0,0,,"Oct 15, 15",0.28392751766720886
2015-10-23,8.6097,222,222,-0.310854,-3.485,8.6097,"Oct 23, 15",0.23918018394047127
2015-10-26,8.4779,1500,1500,-0.131878,-1.532,8.4779,"Oct 26, 15",0.22021042329336926
2015-10-30,8.1764,120,120,-0.301434,-3.556,8.1764,"Oct 30, 15",0.17681601635026403
2015-11-04,8.6097,135,135,0.433312,5.3,8.6097,"Nov 4, 15",0.23918018394047127
2015-11-12,8.9112,500,500,0.301436,3.501,8.9112,"Nov 12, 15",0.2825745908835762
2015-11-18,9.288,400,400,0.376792,4.228,9.288,"Nov 18, 15",0.336806804933865
2015-11-20,9.5456,452,452,0.257609,2.774,9.5456,"Nov 20, 15",0.373882755940644
2015-11-30,9.1005,100,100,-0.445082,-4.663,9.1005,"Nov 30, 15",0.30982023345183446
2015-12-04,9.1005,40,40,0,0,,"Dec 4, 15",0.30982023345183446
2015-12-07,9.2047,2205,2205,0.104169,1.145,9.3001,"Dec 7, 15",0.32481757077678164
2015-12-14,8.4944,1316,1316,-0.710236,-7.716,8.4944,"Dec 14, 15",0.22258524158378803
2015-12-18,8.5323,800,800,0.037879,0.446,8.5323,"Dec 18, 15",0.22804012723268896
2015-12-21,8.7122,1858,1858,0.179927,2.109,8.7122,"Dec 21, 15",0.2539328430173145
2015-12-22,8.7122,95,95,0,0,,"Dec 22, 15",0.2539328430173145
2015-12-28,8.8353,100,100,0.123107,1.413,8.8353,"Dec 28, 15",0.27165042674765044
2015-12-29,8.8069,1875,1875,-0.028409,-0.322,8.8069,"Dec 29, 15",0.2675628607205056
2016-01-07,8.1725,1300,1300,-0.634478,-7.204,8.1717,"Jan 7, 16",0.17625469566343782
2016-01-11,7.9452,500,500,-0.227277,-2.781,7.9452,"Jan 11, 16",0.143539774608155
2016-01-12,7.8581,350,350,-0.087121,-1.097,7.8581,"Jan 12, 16",0.13100361260236915
2016-01-14,7.5759,100,100,-0.2822,-3.591,7.5759,"Jan 14, 16",0.09038702341714765
2016-01-15,7.5001,1100,1100,-0.07576,-1,7.5001,"Jan 15, 16",0.07947725211934542
2016-01-19,7.1971,100,100,-0.303033,-4.04,7.1971,"Jan 19, 16",0.03586695260438407
2016-01-20,6.5815,300,300,-0.615539,-8.553,6.6604,"Jan 20, 16",-0.05273535888541856
2016-01-28,6.913,2000,2000,0.331445,5.036,6.913,"Jan 28, 16",-0.005023100505188545
2016-01-29,7.6327,200,200,0.719705,10.411,7.5143,"Jan 29, 16",0.09856215547143743
2016-02-02,6.6289,200,200,-1.0038,-13.151,6.6904,"Feb 2, 16",-0.04591315361476129
2016-02-16,6.6289,3,3,0,0,,"Feb 16, 16",-0.04591315361476129
2016-02-22,6.6289,22,22,0,0,,"Feb 22, 16",-0.04591315361476129
2016-02-24,7.216,1274,1274,0.587128,8.857,7.216,"Feb 24, 16",0.0385871990097728
2016-03-03,7.0171,200,200,-0.198865,-2.756,7.1166,"Mar 3, 16",0.009959843981634792
2016-03-04,6.9887,800,800,-0.028409,-0.405,6.9887,"Mar 4, 16",0.005872277954489838
2016-03-07,6.7709,100,100,-0.217807,-3.117,6.7709,"Mar 7, 16",-0.025475323479036777
2016-03-08,6.2501,100,100,-0.52084,-7.692,6.2501,"Mar 8, 16",-0.10043322442752486
2016-03-11,6.269,180,180,0.01894,0.303,6.269,"Mar 11, 16",-0.09771297802213613
2016-03-14,6.269,7,7,0,0,,"Mar 14, 16",-0.09771297802213613
2016-03-28,6.269,519,519,0,0,,"Mar 28, 16",-0.09771297802213613
2016-04-05,5.8523,500,500,-0.416671,-6.647,5.9262,"Apr 5, 16",-0.1576879344838009
2016-04-06,5.7766,500,500,-0.075759,-1.295,5.7766,"Apr 6, 16",-0.16858331294347928
2016-04-08,5.7766,80,80,0,0,,"Apr 8, 16",-0.16858331294347928
2016-04-12,6.3258,400,400,0.549249,9.508,6.2311,"Apr 12, 16",-0.08953784596784635
2016-04-14,6.7614,430,430,0.435611,6.886,6.7614,"Apr 14, 16",-0.026842643100793
2016-04-15,6.7804,4020,4020,0.01894,0.28,6.7799,"Apr 15, 16",-0.02410800385728055
2016-04-18,6.9793,17640,17640,0.198866,2.933,6.9742,"Apr 18, 16",0.004519351170857459
2016-04-19,6.8808,150,150,-0.098485,-1.411,6.8808,"Apr 19, 16",-0.009657594381035988
2016-04-26,7.7653,200,200,0.884481,12.854,7.7653,"Apr 26, 16",0.11764705882352944
2016-05-06,7.2744,795,795,-0.490893,-6.322,7.2744,"May 6, 16",0.04699261647404255
2016-05-09,7.2744,3,3,0,0,,"May 9, 16",0.04699261647404255
2016-05-13,7.7465,124,124,0.472111,6.49,7.7465,"May 13, 16",0.11494120525626454
2016-05-18,7.6598,1000,1000,-0.086714,-1.119,7.6598,"May 18, 16",0.10246261460297357
2016-06-23,6.9275,505,505,-0.732253,-9.56,6.9275,"Jun 23, 16",-0.0029361389772448554
2016-06-29,6.7444,800,800,-0.183064,-2.643,6.7444,"Jun 29, 16",-0.029289425581830484
2016-07-08,6.5517,1500,1500,-0.192698,-2.857,6.5517,"Jul 8, 16",-0.057024424646295924
2016-07-12,6.4554,1856,1856,-0.096349,-1.471,6.4554,"Jul 12, 16",-0.07088472775946685
2016-07-19,6.8601,1000,1000,0.404665,6.269,6.8601,"Jul 19, 16",-0.01263691187265212
2016-07-26,6.4554,7200,7200,-0.404665,-5.899,6.4554,"Jul 26, 16",-0.07088472775946685
2016-07-27,6.4554,14,14,0,0,,"Jul 27, 16",-0.07088472775946685
2016-07-29,6.0411,100,100,-0.414301,-6.418,6.0411,"Jul 29, 16",-0.13051425610616152
2016-08-01,6.0507,4000,4000,0.009634,0.159,6.0054,"Aug 1, 16",-0.12913254364628157
2016-08-02,5.8869,2200,2200,-0.163793,-2.707,5.9018,"Aug 2, 16",-0.1527080124929835
2016-08-04,5.7039,200,200,-0.183064,-3.11,5.7328,"Aug 4, 16",-0.17904690625944528
2016-08-05,5.7039,2109,2109,0,0,,"Aug 5, 16",-0.17904690625944528
2016-08-08,6.0122,2958,2958,0.308318,5.405,5.9401,"Aug 8, 16",-0.13467378632392518
2016-08-09,5.9255,800,800,-0.086714,-1.442,5.9255,"Aug 9, 16",-0.14715237697721603
2016-08-11,6.0507,209,209,0.125253,2.114,6.0608,"Aug 11, 16",-0.12913254364628157
2016-08-15,6.0507,53,53,0,0,,"Aug 15, 16",-0.12913254364628157
2016-08-18,6.07,6000,6000,0.01927,0.318,6.0989,"Aug 18, 16",-0.12635472588839786
2016-08-22,6.0026,25000,25000,-0.067444,-1.111,6.0011,"Aug 22, 16",-0.13605549878380513
2016-08-24,6.1278,400,400,0.125254,2.087,6.1278,"Aug 24, 16",-0.11803566545287067
2016-08-25,5.8869,4053,4053,-0.240873,-3.931,5.8869,"Aug 25, 16",-0.1527080124929835
2016-08-26,5.9158,898,898,0.028904,0.491,5.9062,"Aug 26, 16",-0.14854848227521983
2016-08-29,6.0796,11572,11572,0.163794,2.769,6.0477,"Aug 29, 16",-0.12497301342851792
2016-08-30,6.1085,7415,7415,0.028905,0.475,6.0984,"Aug 30, 16",-0.12081348321075426
2016-08-31,6.1182,3843,3843,0.009635,0.158,6.0845,"Aug 31, 16",-0.1194173779127506
2016-09-01,6.5614,700,700,0.443206,7.244,6.2462,"Sep 1, 16",-0.05562831934829227
2016-09-02,6.4265,5000,5000,-0.134888,-2.056,6.4265,"Sep 2, 16",-0.07504425797723051
2016-09-06,6.5036,404,404,0.077079,1.199,6.5036,"Sep 6, 16",-0.06394737978381959
2016-09-19,5.9929,15800,15800,-0.510651,-7.852,6.0455,"Sep 19, 16",-0.1374516040818089
2016-09-20,5.9255,2257,2257,-0.067444,-1.125,5.9255,"Sep 20, 16",-0.14715237697721603
2016-09-21,5.8677,2283,2283,-0.05781,-0.976,5.8769,"Sep 21, 16",-0.15547143741274336
2016-09-22,5.7809,10250,10250,-0.086714,-1.478,5.788,"Sep 22, 16",-0.16796442090415806
2016-09-26,5.8773,200,200,0.096349,1.667,5.8773,"Sep 26, 16",-0.15408972495286344
2016-09-27,5.9736,994,994,0.096349,1.639,5.8929,"Sep 27, 16",-0.1402294218396925
2016-09-29,6.2627,4000,4000,0.289048,4.839,6.2567,"Sep 29, 16",-0.09861972682393241
2016-09-30,6.3879,1353,1353,0.125253,2,6.3773,"Sep 30, 16",-0.08059989349299783
2016-10-04,6.3398,353,353,-0.048174,-0.754,6.3398,"Oct 4, 16",-0.08752284863052137
2016-10-07,6.3301,1000,1000,-0.009635,-0.152,6.3301,"Oct 7, 16",-0.08891895392852515
2016-10-10,6.3157,1000,1000,-0.014452,-0.228,6.3157,"Oct 10, 16",-0.09099152261834513
2016-10-17,6.5036,749,749,0.187881,2.975,6.5036,"Oct 17, 16",-0.06394737978381959
2016-10-19,6.5036,1397,1397,0,0,6.5036,"Oct 19, 16",-0.06394737978381959
2016-10-20,6.4169,1000,1000,-0.086715,-1.333,6.4169,"Oct 20, 16",-0.07642597043711045
2016-10-24,6.359,1000,1000,-0.05781,-0.901,6.359,"Oct 24, 16",-0.08475942371076149
2016-10-26,6.7926,100,100,0.433572,6.818,6.7926,"Oct 26, 16",-0.022352077606183098
2016-10-27,6.7059,7142,7142,-0.086714,-1.277,6.7105,"Oct 27, 16",-0.03483066825947408
2016-10-31,6.889,5011,5011,0.183064,2.73,6.739,"Oct 31, 16",-0.008477381654888457
2016-11-01,6.7637,6900,6900,-0.125255,-1.818,6.7595,"Nov 1, 16",-0.02651160782394676
2016-11-03,6.3687,250,250,-0.395031,-5.84,6.3687,"Nov 3, 16",-0.08336331841275783
2016-11-07,6.2242,3400,3400,-0.144524,-2.269,6.2155,"Nov 7, 16",-0.10416096950157602
2016-11-08,6.5036,1500,1500,0.279413,4.489,6.5293,"Nov 8, 16",-0.06394737978381959
2016-11-09,6.359,4350,4350,-0.144525,-2.222,6.4932,"Nov 9, 16",-0.08475942371076149
2016-11-11,7.1973,3000,3000,0.838238,13.182,7.1796,"Nov 11, 16",0.03589573828063163
2016-11-14,6.8408,200,200,-0.356491,-4.953,6.8986,"Nov 14, 16",-0.015414729630535843
2016-11-15,6.9949,3600,3600,0.154159,2.254,7.0075,"Nov 15, 16",0.006764633918162409
2016-11-16,6.5036,3500,3500,-0.491381,-7.025,6.5036,"Nov 16, 16",-0.06394737978381959
2016-11-17,6.8697,150,150,0.366126,5.63,6.8697,"Nov 17, 16",-0.01125519941277218
2016-11-21,6.8745,2000,2000,0.004818,0.07,6.8745,"Nov 21, 16",-0.010564343182832146
2016-11-22,7.2551,25100,25100,0.38058,5.536,7.2167,"Nov 22, 16",0.044214798716158826
2016-11-23,6.7541,280,280,-0.501017,-6.906,6.9241,"Nov 23, 16",-0.0278933202838267
2016-11-28,7.2936,3000,3000,0.539555,7.989,7.239,"Nov 28, 16",0.04975604139380243
2016-11-29,7.5152,14600,14600,0.221603,3.038,7.5111,"Nov 29, 16",0.08165057067603167
2016-11-30,7.3707,100,100,-0.144523,-1.923,7.3707,"Nov 30, 16",0.06085291958721348
2016-12-02,6.9853,312,312,-0.385397,-5.229,6.9853,"Dec 2, 16",0.0053829214582823415
2016-12-05,7.072,104,104,0.086715,1.241,7.072,"Dec 5, 16",0.017861512111573326
2016-12-06,7.5538,2700,2700,0.481745,6.812,7.5217,"Dec 6, 16",0.08720620619179897
2016-12-07,7.8236,1910,1910,0.269778,3.571,7.7642,"Dec 7, 16",0.12603808344967546
2016-12-08,7.891,1183,1183,0.067444,0.862,7.8625,"Dec 8, 16",0.13573885634508273
2016-12-12,7.7657,1929,1929,-0.125254,-1.587,7.7568,"Dec 12, 16",0.11770463017602442
2016-12-13,7.5827,184,184,-0.183063,-2.357,7.5827,"Dec 13, 16",0.09136573640956264
2016-12-20,7.6694,3450,3450,0.086715,1.144,7.6421,"Dec 20, 16",0.10384432706285363
2016-12-28,8.0162,200,200,0.346856,4.523,8.0162,"Dec 28, 16",0.1537586896760172
2016-12-29,8.2668,190,190,0.250507,3.125,8.2668,"Dec 29, 16",0.1898271420141338
2017-01-04,8.2282,125,125,-0.038539,-0.466,8.2282,"Jan 4, 17",0.18427150649836635
2017-01-06,8.392,1224,1224,0.163793,1.991,8.2794,"Jan 6, 17",0.20784697534506827
2017-01-09,8.3535,56974,56974,-0.038539,-0.459,8.3726,"Jan 9, 17",0.2023057326674248
2017-01-10,8.3535,48,48,0,0,,"Jan 10, 17",0.2023057326674248
2017-01-12,8.3535,24,24,0,0,,"Jan 12, 17",0.2023057326674248
2017-01-18,7.997,3691,3691,-0.356492,-4.268,7.8596,"Jan 18, 17",0.15099526475625732
2017-01-19,8.3246,1150,1150,0.327588,4.096,8.3246,"Jan 19, 17",0.19814620244966114
2017-01-20,8.4498,1700,1700,0.125252,1.505,8.4498,"Jan 20, 17",0.2161660357805956
2017-01-23,8.4884,100,100,0.038541,0.456,8.4884,"Jan 23, 17",0.22172167129636303
2017-01-24,8.9123,5300,5300,0.423935,4.994,8.9006,"Jan 24, 17",0.28273291210293766
2017-01-26,8.8834,2100,2100,-0.028904,-0.324,8.8862,"Jan 26, 17",0.278573381885174
2017-01-31,8.2186,3450,3450,-0.664808,-7.484,8.2971,"Jan 31, 17",0.18288979403848654
2017-02-01,8.0933,100,100,-0.125255,-1.524,8.0933,"Feb 1, 17",0.16485556786942812
2017-02-02,8.1222,7900,7900,0.028905,0.357,8.1222,"Feb 2, 17",0.16901509808719178
2017-02-03,8.0259,366,366,-0.096349,-1.186,8.0307,"Feb 3, 17",0.155154794974021
2017-02-06,7.8621,5500,5500,-0.163794,-2.041,7.8378,"Feb 6, 17",0.13157932612731907
