date,Perth Mint Spot
4/1/2016,1068.46
5/1/2016,1074.19
6/1/2016,1080.35
7/1/2016,1098.5
8/1/2016,1105.3
11/1/2016,1102.9
12/1/2016,1094.65
13/01/16,1082.65
14/01/16,1090.76
15/01/16,1080.1
18/01/16,1088.5
19/01/16,1088.74
20/01/16,1091.3
21/01/16,1100
22/01/16,1097.31
25/01/16,1100.6
27/01/16,1117.5
28/01/16,1121.35
29/01/16,1111.42
1/2/2016,1118.78
2/2/2016,1124.87
3/2/2016,1124.61
4/2/2016,1141.7
5/2/2016,1152.16
8/2/2016,1167.65
9/2/2016,1189.5
10/2/2016,1188.21
11/2/2016,1214.3
12/2/2016,1242.96
15/02/16,1228.2
16/02/16,1208.85
17/02/16,1205
18/02/16,1204.7
19/02/16,1227.6
22/02/16,1221.61
23/02/16,1217.6
24/02/16,1227.67
25/02/16,1236.2
26/02/16,1234.61
29/02/16,1227.95
1/3/2016,1242.8
2/3/2016,1227.8
3/3/2016,1237.8
4/3/2016,1267.56
8/3/2016,1270.9
9/3/2016,1260.26
10/3/2016,1251.2
11/3/2016,1277.2
14/03/16,1251.11
15/03/16,1231.31
16/03/16,1230.16
17/03/16,1257.01
18/03/16,1261.9
21/03/16,1250.25
22/03/16,1255.2
23/03/16,1244.2
24/03/16,1218.31
29/03/16,1218.25
30/03/16,1238.1
31/03/16,1230.6
1/4/2016,1229.6
4/4/2016,1217.4
5/4/2016,1228.36
6/4/2016,1227.3
7/4/2016,1225.85
8/4/2016,1235.06
11/4/2016,1249
12/4/2016,1256.46
13/04/16,1251.71
14/04/16,1238.6
15/04/16,1226.9
18/04/16,1234.4
19/04/16,1239.26
20/04/16,1251
21/04/16,1254.6
22/04/16,1245.8
26/04/16,1235.5
27/04/16,1242.8
28/04/16,1252.96
29/04/16,1273.27
2/5/2016,1296.61
3/5/2016,1294.4
4/5/2016,1281.91
5/5/2016,1277.3
6/5/2016,1277.2
9/5/2016,1282.63
10/5/2016,1262.48
11/5/2016,1268.46
12/5/2016,1273.8
13/05/16,1271
16/05/16,1278.18
17/05/16,1275.3
18/05/16,1273.83
19/05/16,1256.91
20/05/16,1252.86
23/05/16,1250.46
24/05/16,1244.38
25/05/16,1224.16
26/05/16,1227.3
27/05/16,1218.06
30/05/16,1202.65
31/05/16,1209.1
1/6/2016,1215.1
2/6/2016,1211.4
3/6/2016,1207.8
7/6/2016,1240.86
8/6/2016,1248.36
9/6/2016,1259.4
10/6/2016,1264.71
13/06/16,1280.16
14/06/16,1278.5
15/06/16,1281.75
16/06/16,1308.6
17/06/16,1280.46
20/06/16,1284.76
21/06/16,1287.9
22/06/16,1265.26
23/06/16,1265.9
24/06/16,1336.2
27/06/16,1329.95
28/06/16,1321.4
29/06/16,1317.4
30/06/16,1314.66
1/7/2016,1331.2
4/7/2016,1349.51
5/7/2016,1347.81
6/7/2016,1366.6
7/7/2016,1364.56
8/7/2016,1355.61
11/7/2016,1366
12/7/2016,1353.2
13/07/16,1338.9
14/07/16,1342.2
15/07/16,1330.46
