"","x"
"ISD",1.65383161584723
"ISRG",4.99751692105331
"IUSV",2.74371963840027
"IVOO",3.17079682713253
"IVR.A",2.39361389292276
"IWN",3.61117239524421
"IWP",3.16766312931089
"IWR",2.91421326820828
"IWX",2.61671427209232
"IXP",2.51662095416483
"IYW",3.38777367073966
"IYY",2.62334457873155
"JAZZ",6.56041676773808
"JJSF",3.89688690838199
"JKD",2.64281487376358
"JNPR",5.2453422051251
"JOF",2.90693770019564
"JPI",2.10472027548015
"JPXN",3.05300896291007
"JQC",1.90166255887549
"JWN",7.30203792811583
"JXI",2.41923418652657
"KBWB",4.62662064612308
"KIM.I",1.68808642129204
"KNDI",16.4965282716613
"KNX",8.71627698973952
"KRC",4.39035158956883
"KTCC",6.02531620876269
"KWR",5.30994697062124
"KYN",7.19085189796366
"LAD",7.65467042552146
"LAND",5.67349548813471
"LB",8.02563826335069
"LEE",13.3902454874777
"LGI",3.71608904107032
"LKFN",4.59644653991291
"LMT",3.44482060552652
"LUB",6.70115119919481
"LYB",6.27851450185691
"MANH",7.67477879222768
"MBG",0.564619775893659
"MCA",1.99575720926995
"MCF",17.1686294045898
"MCY",5.2532602512997
"MDSO",7.97204793477192
"MEOH",9.259372463638
"MET",5.30180084507691
"MFA",2.91084749949156
"MIDD",6.41520610139425
"MIDZ",9.47787902708351
"MIND",10.4738554127825
"MINT",0.101093993313632
"MKTX",5.63725589872003
"MLN",1.20043178696743
"MLPX",5.49612589803413
"MOG",6.58954902131185
"MOO",2.76271197696057
"MPX",9.10084878241442
"MRC",10.6179192541984
"MRLN",7.09470526327992
"MRO",11.9875193113605
"MRVL",6.89594599115967
"MSA",5.68469703213221
"MSG",33.971676051064
"MUC",1.91306426732548
"MUS",2.13836046650607
"NAN",1.81009403425653
"NBL",7.81777619883532
"NCI",7.06949154381022
"NEE",2.94661710959247
"NGS",7.95144084699119
"NHC",3.24053653101616
"NHI",4.02909440433608
"NL",16.5957474858732
"NS",8.31866915807755
"NSSC",8.56504315851696
"NTES",8.76742184375343
"NTRI",10.5395838741263
"NTRS",4.86062850613504
"NUV",1.5820685545949
"NVG",2.17367586586586
"ODP",13.1903548874832
"OFIX",7.15622094839703
"OHAI",8.69012133633355
"OLED",13.2696649785333
"ONCY",21.7069485656376
"ORCL",3.71701313983388
"OSBC",5.36391036937664
"OSIS",7.84871940405055
"OSK",7.37475785537689
"OSPN",12.9536473961991
"OTTR",4.09116398278839
"PAA",7.06353931898032
"PAGP",8.74301071577107
"PCEF",1.89956529043659
"PDM",3.89842125941828
"PDT",3.4087628480609
"PEJ",3.1244360674731
"PFLT",2.81657727027102
"PGP",6.13294339853003
"PHK",4.59708043923131
"PIO",3.10192882232621
"PJH",1.48318675515063
"PLD",4.08092292464554
"PLW",1.60459537493521
"PM",5.02376221884954
"PMM",1.67826996322436
"PNC.P",1.71218654286959
"PNR",6.53615389991392
"POOL",4.10764636863798
"PRA",5.01127520059758
"PRGX",7.42178932864357
"PRIM",7.36538189801636
"PSA.W",2.34600365859378
"PSCF",3.51495859658094
"PSK",1.44500434363303
"PSR",3.02750820867174
"PTY",3.16498006376589
"PVI",0.0583760331742552
"PXMV",2.97740905948542
"PYN",3.25133433020568
"PYZ",4.39300067909281
"PZD",3.70568654436596
"PZZA",7.67701893303279
"QADA",6.86933483020704
"QCLN",4.75088911420498
"QDF",2.66592826458751
"QRTEA",9.79583249893627
"REM",2.44369089131527
"RF.A",0.879809893507304
"RGT",3.66954589850622
"RING",8.99667104534969
"RJF",5.72424812296165
"RJI",3.61069145703535
"RLGT",11.1768174112342
"RMT",4.14544945902238
"ROL",4.10389293986228
"RP",7.81425287793043
"RPT",4.53579049414749
"RRGB",8.87893754121488
"RST",8.81501787982388
"RTEC",7.42417180702689
"RTIX",9.44769634208413
"RTW",14.8452594669095
"RVT",4.19931498412272
"RY",4.14751708071223
"SA",11.2497146049936
"SAFT",3.79032995161397
"SBAC",4.40486427937509
"SBGI",7.23413844839925
"SBUX",4.30643613640419
"SCHH",3.23621306590441
"SCOR",9.68505545087606
"SHYD",0.746607377813004
"SIGI",4.39320159639314
"SKF",6.04120883536446
"SKY",18.9964443162762
"SLAB",6.51578695988196
"SLY",3.62561639601393
"SMH",4.54364653046396
"SMMU",0.267030534464142
"SMSI",16.9423865576024
"SNE",7.08198915781065
"SNPS",4.37582959689557
"SNV",5.37744370290158
"SOHO",6.12224474727897
"SON",4.07971155937168
"SOXS",13.5616395264093
"SOXX",4.71248372317552
"SPDW",2.85819651336934
"SPHB",4.44651847796605
"SPSM",3.68797473808112
"SPTL",2.55485487307027
"SPTS",0.315740111444387
"SPXC",15.6206883934961
"SPYV",2.67660579671687
"SRV",7.48910771291258
"SSTK",10.7811456590879
"STAA",14.1215434527905
"STAG",5.21806219411278
"STFC",4.88672065999618
"STM",8.43333587214004
"STML",14.5446204957856
"SU",6.47584042371614
"SUNS",3.02610443436747
"SUNW",17.0296750235035
"SYKE",5.22316542153465
"SYMC",6.28347920955158
"SYNL",8.62276637994968
"TAO",5.41501818202403
"TARO",6.18489126939808
"TDJ",1.46966535774992
"TDS",6.50428443802941
"TECH",5.39218287524481
"TEUM",23.5733082794459
"TGB",16.6691207594206
"THO",7.86289663575573
"TIS",12.8479606559973
"TLK",4.79645372499909
"TNXP",20.9984173205202
"TOK",2.51702924663729
"TOT",4.37853374646515
"TRMB",7.54443751980973
"TROV",19.704980246328
"TRS",7.62521465241323
"TRX",25.0081655256303
"TS",7.56591392458787
"TSCO",6.76682408712264
"TTGT",8.96876785669922
"TTT",8.07300360058727
"TV",6.54915468557031
"TVC",1.42723797365812
"TVIX",23.7373646155898
"TWO",3.82409508872887
"UCFC",4.75568295492388
"UIHC",9.00682611437154
"UNG",9.05131592943245
"UPW",5.69693398959542
"USA",3.34778176578325
"USAC",8.59392447355533
"USLV",72.5957223109091
"UTL",3.8700516823983
"UUP",1.56448731936162
"VBK",3.56126334825196
"VBR",3.34438248158844
"VCSH",0.350875094719759
"VCV",2.05301791820095
"VEA",2.85091126414203
"VECO",10.4841303696877
"VFH",3.49597323364819
"VGM",1.84993761223588
"VIA",6.72522807901892
"VKI",2.15587262673479
"VLRS",9.75050348582704
"VNQ",3.19487082778107
"VOT",3.09944964415495
"VOYA",6.54634162197453
"VRML",13.9550685188154
"VRTX",8.36088049940281
"VSEC",9.6983921617371
"VSI",15.1984684890505
"VTN",2.06415969309751
"VVR",2.02093248257137
"VVUS",18.4610814388041
"WAFD",4.9495759965977
"WBC",5.88296723301693
"WCC",6.78404128666857
"WEC",3.59071999960801
"WFC.R",1.75638530409465
"WFC",4.51039670897785
"WHR",6.58127511032957
"WPC",3.60569318651154
"WPM",9.93974499516421
"WRB.B",2.60147965543554
"WRE",4.42856270948311
"WTR",3.40062349959028
"WWR",15.5202238841822
"XONE",15.1806333908157
"XOP",8.29932407783217
"XRAY",5.43450796348136
"ZBRA",8.50459573995744
"ZROZ",4.21620503292908
