"","x"
"EWL",0.00280944105017609
"SKF",-0.0187749154900697
"HMY",0.00981007442993422
"TOK",0.00618255543158297
"VECO",-0.0153930140993011
"ALLY.A",0.00521201954798745
"KBWB",0.00832325524478278
"TOT",0.0033096211259551
"LEE",0.000869689724540486
"IIF",0.00933941664378485
"VGM",0.0048299496055031
"IGHG",0.00106111288494422
"PAA",-0.00572747848873238
"MBG",0.00172218731645183
"BGT",0.0027053315309866
"TLK",0.00936065999696965
"DZZ",0.000809489372103528
"ALL.D",0.00535795964153275
"FNK",0.0045847448102602
"UTL",0.0127261570566064
"SYNL",0.00610512532409722
"PAGP",-0.0109706019012184
"NCI",0.00420183705023748
"VOYA",0.00781495015441484
"NS",-0.00059582199891932
"PFLT",0.00618636185477786
"JQC",0.00279741758625959
"MCY",0.00804658281082883
"ERIE",0.0196099193086009
"BYD",0.0168483506356842
"UCFC",0.0180763317135756
"SUNW",-0.0123124755634479
"ONCY",-0.0130132678822886
"RJI",-0.00735378101317762
"AFT",0.00312436059887446
"IGI",0.00443443323487304
"PSA.W",0.00707657861980903
"CPL",0.0081294261348207
"EXG",0.00499215991554668
"CXO",0.00186365001088426
"BVN",0.0110653233412801
"HAO",0.00536721401097505
"GXC",0.00846750755245153
"FXN",-0.00777441261003326
"VKI",0.00521054439493318
"BSJJ",0.00230114043134368
"CVS",-0.00109546866110926
"HST",0.00459512826159495
"E",-0.000618108696369557
"SBAC",0.0120845738267309
"WAFD",0.00787677879181932
"HI",0.00863918663715437
"PXMV",0.00585205385886356
"BID",0.00255249514468805
"JAZZ",0.00108777701926999
"CMG",0.00423687161021984
"BLRX",-0.0211414329895508
"PDM",0.00784641079039168
"SLAB",0.00978838422962713
"FTR",-0.0369911567541919
"MLPX",0.00067393288969368
"AUY",-0.011130535247562
"USA",0.00890458043035888
"WBC",0.00649553833493795
"PTY",0.00838379754332312
"HEP",0.00557606050975989
"VCSH",0.00156774086846686
"TGB",-0.00522251629221001
"PM",0.00643033429368515
"USAC",0.0050152641547477
"ORCL",0.00698368815901968
